fileid;commit_hash;modified;file_modified;CBO;WMC;DIT;NOC;RFC;LCOM;LOC
0;387e6b63;0;0;3.937;44.636;1.965;0.210;18.615;606;27727
1;812265f1;0;0;3.937;44.636;1.965;0.210;18.615;606;27727
2;57b8713ca;2;1;3.972;44.724;1.952;0.207;18.959;598;28194
3;b7c54b79d;0;0;3.972;44.724;1.952;0.207;18.966;598;28194
4;fe001fdab;129;1;3.979;44.527;1.952;0.212;18.973;594;28236
5;b295ab911;11;1;3.979;44.534;1.952;0.212;18.973;594;28239
6;ab00a1360;1351;9;3.979;44.527;1.952;0.212;18.973;594;28236
7;a5404125f;81;1;3.978;45.543;1.986;0.217;18.833;626;27380
8;49be972ca;0;0;4.007;45.712;1.978;0.216;18.964;623;27618
9;aeaa4571;0;0;4.029;46.022;1.978;0.216;19.007;623;27698
10;2df086b31;439;9;4.007;45.712;1.978;0.216;18.964;623;27618
11;44573fc5f;0;0;4.007;45.712;1.978;0.216;18.964;623;27618
12;8720327a;0;0;4.007;45.712;1.978;0.216;18.964;623;27618
13;3fe9246f6;1452;11;4.000;44.828;1.952;0.207;18.924;598;28174
14;77ed2f4d6;522;7;4.029;46.050;1.978;0.216;19.043;623;27709
15;85d1b5050;2109;23;3.960;43.715;1.927;0.199;18.881;572;28559
16;a9fedabe3;4;1;4.029;46.050;1.978;0.216;19.043;623;27709
17;ec3c8123b;0;0;4.029;46.065;1.978;0.216;19.043;623;27709
18;958c835ef;17;2;4.029;46.065;1.978;0.216;19.043;623;27709
19;ddc8fa98;0;0;3.993;44.795;1.945;0.205;18.945;594;28266
20;3d9672d90;1641;13;3.993;44.801;1.945;0.205;18.952;594;28283
21;d30bd8366;0;0;4.029;46.180;1.978;0.216;19.079;623;27729
22;8a1cf335a;13;1;4.014;45.879;1.971;0.214;18.950;619;27738
23;0a0b573d7;0;0;4.029;46.180;1.978;0.216;19.079;623;27729
24;2ca5d3e05;562;9;4.029;46.180;1.978;0.216;19.079;623;27729
25;a74c94ae;0;0;3.993;44.822;1.945;0.205;18.986;594;28292
