1d7efa8828;Jesse Glick;06/03/2017;Issue #270005: increase the default indexing sleep delay during builds to 15s, and make it configurable.;1;1;1
00f3f7e846;Tomas Zezula;24/04/2017;Added missing files.;2;204;0
986c03c932;Tomas Zezula;24/04/2017;Source nodes for AP generated classes in Multi-Module project.;4;301;135
9b70fd4c7b;Tomas Zezula;25/04/2017;Regression in annotation processors on JDK 8.;1;1;1
e5e0424e8a;Tomas Zezula;26/04/2017;Processor generated sources in Java 9 have module_class_path.;1;2;0
a72a442399;Dusan Balek;26/04/2017;Issue #270342 - false error badges in correct Clank sources - fixed.;1;25;25
e22e2e098a;Dusan Balek;26/04/2017;Issue #269326 - ClassCastException: Cannot cast org.netbeans.modules.java.source.save.Reindenter$$Lambda$227/34841035 to javax.tools.DiagnosticListener - fixed.;1;6;1
0bc446edf6;Tomas Zezula;27/04/2017;#268868:cos-update tab behaves too aggressively;3;124;13
37b13d8b8e;Tomas Zezula;27/04/2017;Do not execute custom target during CoS when build references unreachable imports.;1;188;63
083ec9a606;Tomas Zezula;28/04/2017;Passwords visible when Ctrl+F11 used to reinvoke j2se embedded app on remote host.;2;6;0
c005539ffa;Tomas Zezula;28/04/2017;Preserving configuration during action reinvoke.;2;41;5
d332c45f24;Emilian Bold;01/05/2017;#250103: Support bundled JRE with macOS (thanks to Peter Hansson);1;10;0
e8ee3ab2a0;Tomas Zezula;02/05/2017;Add-modules ALL-MODULE-PATH causes huge perf regression in Modules.retrieveRequiresTransitive. In general when no source root it's an unnamed module which do not activate other modules -> should not see other non active modules.;1;0;3
0bb43cdb62;Tomas Zezula;02/05/2017;#270529:NullPointerException at org.netbeans.modules.java.api.common.impl.TemplateModuleDeclarator.findModuleNames;1;3;2
182e2bd6fb;Tomas Zezula;02/05/2017;#268868: cos-update tab behaves too aggressively;4;37;6
3cd275a6ef;Jesse Glick;03/05/2017;Issue #270552: AbstractProjectClassPathImpl subtypes generally need to process Artifact.file to handle timestamped snapshots properly.;7;54;11
6470a43c80;Dusan Balek;03/05/2017;Do not open parameters tooltip when completing methods without params.;1;1;1
432b491611;Dusan Balek;03/05/2017;Use desktop rendering hints (e.g. antialiasing) for rendering code completion tooltips.;1;16;1
d90ca59f6a;Junichi Yamamoto;04/05/2017;#262141 - [PHP7] Context sensitive lexer & Uniform variable syntax;27;48184;35452
57d4fc7df2;Dusan Balek;04/05/2017;Issue #268247 - Wrong new line if comma in annotations - fixed.;1;6;0
c1ba50ea5a;Junichi Yamamoto;05/05/2017;Fix a warning;1;2;4
05cf33eebb;Tomas Zezula;05/05/2017;Performance fix of very slow huge folder of modules.;4;1500;177
5c20e0d7df;Dusan Balek;05/05/2017;Issue #268396 - No code completion comes up after hitting dot while using multicursor - fixed.;1;3;0
b19687c71a;Svata Dedic;05/05/2017;Do not run build if CoS is enabled;2;40;0
1c07f3f328;Svata Dedic;05/05/2017;Do not include module cmdline args if project does not contain module-info.java;1;4;0
7280eb7dfb;Arusinha;07/05/2017;#215318: Fixing the auto comment population;2;20;2
530735958d;Tomas Zezula;09/05/2017;#270576:UnsupportedOperationException: No JavaFileManager for location: CLASS_OUTPUT;3;14;4
c094f9f11b;Tomas Zezula;09/05/2017;Support for Automatic-Module-Name;2;158;10
78ffa1b675;Dusan Balek;09/05/2017;Issue #268395 - MultiCursor make problems for code completion after hitting tab or enter - fixed.;3;152;1
f83921ef03;Svata Dedic;09/05/2017;Backport of #89519a9, translating to embedding offsets;1;29;3
ecde560eef;Svata Dedic;09/05/2017;isEnabled should be accessible from any thread;2;0;6
0fb75c15e4;Svata Dedic;09/05/2017;#270595: Fixed livelock - endless loop looking for end of declaration;2;12;4
fccb1ee2f1;Tomas Zezula;10/05/2017;#270604:org.netbeans.modules.java.source.parsing.OutputFileManager$InvalidSourcePath at org.netbeans.api.java.source.ClasspathInfo.<init>;9;62;15
06b7360ac4;Dusan Balek;10/05/2017;Modified to prevent NPEs from Elements.getTypeElement.;1;12;5
11cd6e71e1;Tomas Zezula;11/05/2017;Automatic-Module-Name query.;4;687;0
99788a83a7;Dusan Balek;11/05/2017;Issue #268069 - [82cat] Auto complete suggestions don't show first time - fixed.;1;10;20
13af845b57;Dusan Balek;11/05/2017;Issue #231879 - Unable to disable all automatic indentation and random carriage returns across the editor - fixed.;3;82;39
8bec837e94;Tomas Zezula;12/05/2017;Support for Automatic-Module-Name attribute in project dependency.;5;184;18
3378020001;Dusan Balek;12/05/2017;Issue #268942 - Analyze Stack Window can not open location - fixed.;1;21;7
91f7a6afc2;Tomas Zezula;15/05/2017;#270646:GoToSymbol doesn't work with dollar sign;1;1;1
fa63e2e594;Tomas Zezula;15/05/2017;#268482:StringIndexOutOfBoundsException: String index out of range: -1;1;24;8
