commit_hash;modified;file_modified;CBO;WMC;DIT;NOC;RFC;LCOM;LOC
6e0a15499;158;19;3.96;1.83;1.13;0.00;0.83;0.35;143.00
9eb049791;25;1;3.96;1.83;1.13;0.00;0.83;0.35;143.00
787d8fc02;158;19;3.95;1.91;1.14;0.00;0.86;0.36;141.00
031af80c3;122;3;3.96;1.83;1.13;0.00;0.83;0.35;143.00
ee001549e;72;2;3.52;1.84;1.16;0.12;0.84;0.36;158.00
5d1847146;266;1;3.52;1.93;1.19;0.11;0.81;0.37;185.00
5abd62a2e;278;1;3.70;3.89;1.19;0.11;2.78;0.37;345.00
db9f9a60a;272;5;3.52;2.42;1.15;0.09;1.30;1.24;286.00
fb22a73a7;3;1;3.43;1.93;1.18;0.11;0.86;0.36;194.00
af383b5ad;123;2;3.48;1.93;1.21;0.10;0.83;0.38;202.00
b24b42f81;251;7;3.52;2.42;1.15;0.09;1.30;1.24;286.00
2b0b6845d;135;3;3.61;2.42;1.18;0.18;1.21;1.42;287.00
7a8b681f5;135;4;3.63;2.22;1.19;0.19;1.25;0.34;278.00
bf5df77b7;6;1;3.74;2.21;1.24;0.24;1.15;0.35;292.00
d8a3a8ff4;10;1;3.69;2.17;1.23;0.23;1.14;0.34;297.00
622d861ef;73;1;3.69;2.51;1.23;0.23;1.23;0.34;337.00
2ea065c0e;73;1;3.69;2.51;1.23;0.23;1.23;0.34;337.00
4d5962a85;14;5;3.69;2.51;1.23;0.23;1.23;0.34;337.00
b20b62c91;14;5;3.69;2.51;1.23;0.23;1.23;0.34;337.00
21201034b;68;3;3.63;2.31;1.31;0.17;1.06;0.37;315.00
abd66858b;78;4;3.63;2.31;1.31;0.17;1.06;0.37;315.00
dc12d5bb9;63;5;3.43;2.19;1.30;0.16;1.00;0.35;319.00
6886142c6;52;7;3.43;2.19;1.30;0.16;1.00;0.35;319.00
b80de9378;19;2;3.47;2.24;1.32;0.16;1.00;0.42;333.00
8c87c29be;166;3;3.88;2.33;1.30;0.15;0.98;0.35;367.00
2721eadf6;20;6;3.57;2.19;1.30;0.16;1.00;0.38;323.00
de66728dd;2;1;3.88;2.33;1.30;0.15;0.98;0.35;367.00
a127b061a;24;4;3.78;2.39;1.29;0.15;0.95;0.59;384.00
358557062;87;18;3.74;2.38;1.29;0.14;0.95;0.57;393.00
11fe816ff;50;1;4.00;2.52;1.29;0.14;0.95;0.57;411.00
bd383717e;40;1;3.95;2.51;1.28;0.14;0.95;0.56;420.00
636857802;40;1;3.93;2.50;1.27;0.14;1.14;0.57;437.00
284f79ad6;33;1;3.95;2.52;1.27;0.14;1.36;0.64;461.00
1a0fcdc97;57;1;3.98;2.53;1.28;0.14;1.19;0.63;444.00
5e7edd277;138;3;4.06;2.40;1.26;0.13;1.83;0.53;521.00
d92b15197;4;1;4.19;2.77;1.27;0.12;2.10;1.08;634.00
63ae2b19d;96;2;4.28;2.85;1.26;0.11;2.40;1.34;694.00
715dcece5;33;2;4.23;2.77;1.26;0.11;2.08;1.11;645.00
