file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/patriziadecristofaro/GIT/RxJava/rxjava-core/src/main/java/org/rx/operations/AtomicObserverMultiThreaded.java,org.rx.operations.AtomicObserverMultiThreaded$UnitTest$TestMultiThreadedObservable$Anonymous2,anonymous,1,1,0,1,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,1,0,2,0,1,1,0,0,0,2,1,0,0,12,-1,0
/Users/patriziadecristofaro/GIT/RxJava/rxjava-core/src/main/java/org/rx/operations/OperationMerge.java,org.rx.operations.OperationMerge$UnitTest$TestObservable$Anonymous11,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/rxjava-core/src/main/java/org/rx/operations/OperationMerge.java,org.rx.operations.OperationMerge$MergeObservable,innerclass,5,5,0,5,2,2,0,1,0,0.75,NaN,NaN,2,0,1,1,0,0,1,0,0,0,6,0,0,6,0,0,4,0,0,91,1,0,0,0,0,0,0,6,0,6,0,0,3,0,68,26,0
/Users/patriziadecristofaro/GIT/RxJava/rxjava-core/src/main/java/org/rx/operations/OperationMerge.java,org.rx.operations.OperationMerge$UnitTest$TestSynchronousObservable$Anonymous8,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/patriziadecristofaro/GIT/RxJava/rxjava-core/src/main/java/org/rx/operations/OperationZip.java,org.rx.operations.OperationZip,class,13,15,2,13,3,2,0,4,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,465,3,0,0,0,0,0,0,3,0,3,0,0,3,0,5,17,0
/Users/patriziadecristofaro/GIT/RxJava/rxjava-core/src/main/java/org/rx/operations/OperationMergeDelayError.java,org.rx.operations.OperationMergeDelayError$UnitTest$Anonymous6$Anonymous7,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/patriziadecristofaro/GIT/RxJava/rxjava-core/src/main/java/org/rx/operations/OperationCombineLatest.java,org.rx.operations.OperationCombineLatest$UnitTest,innerclass,14,14,0,14,20,2,0,31,153,0.0,0.0,0.0,18,1,13,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,15,328,7,0,1,0,0,94,53,68,0,68,2,4,1,0,92,9,1
/Users/patriziadecristofaro/GIT/RxJava/rxjava-core/src/main/java/org/rx/operations/OperationMerge.java,org.rx.operations.OperationMerge$UnitTest$Anonymous6,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,-1,0
/Users/patriziadecristofaro/GIT/RxJava/rxjava-core/src/main/java/org/rx/operations/OperationMerge.java,org.rx.operations.OperationMerge$UnitTest$TestSynchronousObservable,innerclass,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6,10,0
/Users/patriziadecristofaro/GIT/RxJava/rxjava-core/src/main/java/org/rx/operations/OperationMap.java,org.rx.operations.OperationMap$UnitTest$Anonymous4,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,-1,0
