file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/subscribers/ToNotificationSubscriber.java,io.reactivex.internal.subscribers.ToNotificationSubscriber,class,7,9,2,7,7,1,0,9,0,0.4,0.7,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,0,0,2,1,0,5,29,1,0,1,0,0,0,0,2,0,2,1,0,0,0,18,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/OperatorGroupBy.java,io.reactivex.internal.operators.OperatorGroupBy$GroupBySubscriber,innerclass,9,9,0,9,17,3,0,22,0,0.6875,0.78571427,1.0,8,0,8,0,0,0,8,0,0,0,10,2,0,1,0,9,8,0,3,94,4,0,5,2,0,3,8,17,0,17,2,0,0,1,59,25,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/util/LinkedArrayList.java,io.reactivex.internal.util.LinkedArrayList,class,1,5,4,1,13,1,2,4,12,0.6888889,0.33333334,0.7777778,9,0,8,0,0,1,9,0,0,0,5,0,0,0,0,5,1,0,0,67,7,1,3,0,0,0,12,20,3,12,2,0,0,0,95,1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/queue/BaseArrayQueue.java,io.reactivex.internal.queue.BaseArrayQueue,class,3,4,1,3,27,2,0,7,294,0.94,0.01,0.01,25,0,14,0,11,0,25,0,11,0,2,1,0,1,1,0,2,0,1,80,6,1,1,0,0,0,2,2,1,2,1,0,0,0,49,1024,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/OperatorOnBackpressureLatest.java,io.reactivex.internal.operators.OperatorOnBackpressureLatest,enum,5,6,1,5,2,3,0,0,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,113,2,0,0,0,0,1,0,0,0,0,0,0,1,0,17,1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/OperatorFilter.java,io.reactivex.internal.operators.OperatorFilter,class,5,6,1,5,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,53,1,0,0,0,0,0,0,1,0,1,0,0,1,0,6,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/PublisherArraySource.java,io.reactivex.internal.operators.PublisherArraySource$ConditionalArraySourceSubscription,innerclass,5,5,0,5,17,3,0,6,0,0.53333336,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,5,1,0,1,0,4,3,0,2,65,8,3,4,0,0,1,6,14,2,13,5,0,0,0,41,24,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/subjects/AsyncSubject.java,io.reactivex.subjects.AsyncSubject$State,innerclass,7,7,0,7,9,2,0,13,9,0.7333333,0.2,0.2,6,0,4,0,0,2,6,0,0,0,5,4,0,1,0,4,4,0,6,40,4,0,0,0,0,5,3,7,0,7,2,0,0,0,66,24,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/OperatorSkipUntil.java,io.reactivex.internal.operators.OperatorSkipUntil$Anonymous1,anonymous,4,4,0,4,7,1,0,7,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,1,27,1,0,1,0,0,1,1,3,0,1,1,0,0,0,17,-1,1
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/Scheduler.java,io.reactivex.Scheduler$Worker,innerclass,4,4,0,4,4,1,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,41,3,0,0,0,0,0,1,3,0,3,0,1,0,0,20,1033,0
