file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/queue/SpscLinkedArrayQueue.java,io.reactivex.internal.queue.SpscLinkedArrayQueue,class,4,6,2,4,50,1,0,27,594,0.93518525,0.023391813,0.03508772,36,4,19,17,0,0,19,0,9,0,12,4,0,1,8,3,4,0,28,203,23,2,9,0,1,10,15,44,17,40,2,0,0,0,108,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/PublisherScalarSource.java,io.reactivex.internal.operators.PublisherScalarSource,class,5,7,2,5,5,1,0,4,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,27,3,0,0,1,0,0,0,2,0,3,2,0,0,1,14,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/queue/BaseArrayQueue.java,io.reactivex.internal.queue.BaseArrayQueue,class,3,4,1,3,27,2,0,7,294,0.94,0.01,0.01,25,0,14,0,11,0,25,0,11,0,2,1,0,1,1,0,2,0,1,80,6,1,1,0,0,0,2,2,1,2,1,0,0,0,49,1024,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/OperatorFilter.java,io.reactivex.internal.operators.OperatorFilter,class,4,4,0,4,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,50,1,0,0,0,0,0,0,1,0,1,0,0,1,0,6,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/subjects/AsyncSubject.java,io.reactivex.subjects.AsyncSubject$State,innerclass,7,7,0,7,9,2,0,13,9,0.7333333,0.2,0.2,6,0,4,0,0,2,6,0,0,0,5,4,0,1,0,4,4,0,6,40,4,0,0,0,0,5,3,7,0,7,2,0,0,0,66,24,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/OperatorSkipUntil.java,io.reactivex.internal.operators.OperatorSkipUntil$Anonymous1,anonymous,4,4,0,4,7,1,0,8,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,28,1,0,1,0,0,1,1,3,0,1,1,0,0,0,17,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/Scheduler.java,io.reactivex.Scheduler$Worker,innerclass,3,3,0,3,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,40,3,0,0,0,0,0,1,2,0,2,0,1,0,0,18,1033,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/PublisherAutoConnect.java,io.reactivex.internal.operators.PublisherAutoConnect,class,4,5,1,4,4,1,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,0,0,0,0,4,4,0,0,21,0,0,1,0,0,1,1,4,0,4,1,0,0,0,35,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/queue/LinkedQueueNode.java,io.reactivex.internal.queue.LinkedQueueNode,class,2,5,3,2,7,2,0,4,19,0.85714287,0.04761905,0.04761905,7,0,5,0,0,2,7,0,0,0,2,1,0,2,0,0,1,0,0,26,3,0,0,0,0,0,1,3,0,3,0,0,0,0,38,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/schedulers/ScheduledRunnable.java,io.reactivex.internal.schedulers.ScheduledRunnable,class,3,4,1,3,23,2,0,7,0,0.5,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,4,3,0,1,0,3,4,0,1,73,3,4,9,1,3,2,13,9,0,8,4,0,0,0,32,17,0
