file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/nbp/NbpOperatorTimeoutTimed.java,io.reactivex.internal.operators.nbp.NbpOperatorTimeoutTimed$TimeoutTimedSubscriber,innerclass,7,7,0,7,19,1,0,14,0,0.6931818,0.64285713,1.0,8,0,7,0,0,1,8,0,0,0,11,3,0,0,0,11,7,0,3,90,4,0,5,0,0,2,2,17,1,14,3,0,0,3,43,24,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/nbp/NbpOnSubscribeZip.java,io.reactivex.internal.operators.nbp.NbpOnSubscribeZip$ZipSubscriber,innerclass,8,8,0,8,15,1,0,8,0,0.61904764,0.6,1.0,6,0,6,0,0,0,6,0,0,0,7,2,0,0,0,7,4,0,2,66,5,1,6,0,0,4,0,10,0,9,2,0,0,1,36,24,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/subjects/nbp/NbpPublishSubject.java,io.reactivex.subjects.nbp.NbpPublishSubject,class,8,79,71,8,17,4,0,6,6,0.30769232,0.26923078,0.26923078,13,1,12,0,1,0,13,0,0,0,1,0,0,0,0,1,1,0,4,176,9,0,3,0,0,0,3,5,0,4,1,0,1,0,26,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/nbp/NbpOperatorTimestampTest.java,io.reactivex.internal.operators.nbp.NbpOperatorTimestampTest,class,9,9,0,9,3,1,0,14,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,3,40,0,0,0,0,0,0,28,9,0,9,0,0,0,0,18,1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/subscribers/nbp/NbpLambdaSubscriber.java,io.reactivex.internal.subscribers.nbp.NbpLambdaSubscriber,class,6,9,3,6,14,2,0,11,0,0.6666667,0.53333336,1.0,6,0,6,0,0,0,6,0,0,0,6,2,0,1,0,5,6,0,3,64,0,0,4,3,0,0,1,8,0,7,2,0,0,1,33,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/OperatorRetryTest.java,io.reactivex.internal.operators.OperatorRetryTest$Anonymous6,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/OperatorBufferTest.java,io.reactivex.internal.operators.OperatorBufferTest$Anonymous27$Anonymous28,anonymous,0,0,0,0,3,1,0,3,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,3,1,0,1,1,0,0,0,6,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/nbp/NbpOperatorDistinct.java,io.reactivex.internal.operators.nbp.NbpOperatorDistinct,class,8,10,2,8,11,1,0,5,0,0.4666667,0.4,0.4,5,3,5,0,0,0,6,0,0,0,3,1,0,0,0,3,3,0,4,143,15,0,4,1,0,2,6,16,0,16,3,0,1,7,41,17,2
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/OperatorRetryTest.java,io.reactivex.internal.operators.OperatorRetryTest$Anonymous8,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/OperatorRetryTest.java,io.reactivex.internal.operators.OperatorRetryTest$Anonymous2,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/schedulers/AbstractSchedulerConcurrencyTests.java,io.reactivex.schedulers.AbstractSchedulerConcurrencyTests,class,9,13,4,9,11,2,4,27,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,8,288,0,0,0,6,0,4,34,31,0,31,2,11,0,0,95,1025,0
