file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/patriziadecristofaro/Desktop/Arduino/app/src/processing/app/Editor.java,processing.app.Editor$DefaultExportAppHandler,innerclass,8,8,0,8,10,1,0,18,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,3,1,0,3,1,4,0,1,3,0,0,0,38,0,0
/Users/patriziadecristofaro/Desktop/Arduino/arduino-core/src/processing/app/I18n.java,processing.app.I18n,class,1,80,79,1,10,1,0,9,4,0.7083333,0.1,0.1,4,4,2,0,2,0,5,0,0,0,6,6,5,1,0,0,0,0,28,64,2,0,3,1,0,32,6,16,0,9,2,0,0,0,51,1,0
/Users/patriziadecristofaro/Desktop/Arduino/app/src/processing/app/tools/ZipDeflater.java,processing.app.tools.ZipDeflater,class,3,6,3,3,17,1,0,26,7,0.62500006,1.0,1.0,6,0,2,4,0,0,2,0,0,0,4,0,0,4,0,0,4,0,3,81,2,4,3,1,1,6,13,23,4,18,4,0,0,0,44,1,0
/Users/patriziadecristofaro/Desktop/Arduino/app/test/cc/arduino/i18n/ExternalProcessOutputParserTest.java,cc.arduino.i18n.ExternalProcessOutputParserTest,class,2,2,0,2,7,1,0,3,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,47,22,14,0,14,0,0,0,0,56,1,0
/Users/patriziadecristofaro/Desktop/Arduino/arduino-core/src/cc/arduino/contributions/libraries/filters/TypePredicate.java,cc.arduino.contributions.libraries.filters.TypePredicate,class,2,5,3,2,4,1,0,3,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,1,0,1,0,0,1,0,1,0,0,0,0,11,1,0
/Users/patriziadecristofaro/Desktop/Arduino/arduino-core/src/cc/arduino/utils/Pair.java,cc.arduino.utils.Pair,class,2,2,0,2,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,11,1,0,0,0,0,2,0,2,1,2,0,0,0,0,7,1,0
/Users/patriziadecristofaro/Desktop/Arduino/app/src/cc/arduino/contributions/libraries/ui/LibraryManagerUI.java,cc.arduino.contributions.libraries.ui.LibraryManagerUI$Anonymous2,anonymous,3,3,0,3,4,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,2,0,1,2,0,0,0,11,-1,0
/Users/patriziadecristofaro/Desktop/Arduino/app/src/cc/arduino/contributions/libraries/ui/LibraryManagerUI.java,cc.arduino.contributions.libraries.ui.LibraryManagerUI$Anonymous1,anonymous,3,3,0,3,3,1,0,3,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,-1,0
/Users/patriziadecristofaro/Desktop/Arduino/app/src/processing/app/syntax/SketchTokenMaker.java,processing.app.syntax.SketchTokenMaker,class,3,4,1,3,5,2,0,4,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,2,0,1,22,2,0,0,0,0,0,1,4,0,3,1,0,0,0,38,1,0
/Users/patriziadecristofaro/Desktop/Arduino/app/test/cc/arduino/i18n/I18NTest.java,cc.arduino.i18n.I18NTest,class,6,7,1,6,9,2,0,20,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,43,2,1,1,1,0,14,4,7,1,9,5,0,0,2,43,1,0
